Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,Home_AvgGoalsFor_L5,Home_AvgGoalsAgainst_L5,Home_AvgShotsFor_L5,Home_AvgShotsAgainst_L5,Home_AvgShotsOnTargetFor_L5,Home_AvgShotsOnTargetAgainst_L5,Home_AvgCornersFor_L5,Home_AvgCornersAgainst_L5,Home_AvgPoints_L5,Home_MatchesPlayed,Away_AvgGoalsFor_L5,Away_AvgGoalsAgainst_L5,Away_AvgShotsFor_L5,Away_AvgShotsAgainst_L5,Away_AvgShotsOnTargetFor_L5,Away_AvgShotsOnTargetAgainst_L5,Away_AvgCornersFor_L5,Away_AvgCornersAgainst_L5,Away_AvgPoints_L5,Away_MatchesPlayed,Diff_AvgPoints_L5,Diff_AvgGoalsFor_L5
2022-08-01,Auxerre,Brest,0,0,D,0,0,H,8,9,3,3,12,8,4,4,0,2,0,0,2023/4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Lorient,Brest,0,0,D,0,0,H,13,9,4,4,13,16,8,6,2,3,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0,9.0,8.0,3.0,3.0,4.0,4.0,1.0,1,0.0,1.2
2022-08-01,Monaco,Lorient,0,0,D,0,0,H,9,14,3,4,11,16,2,3,3,1,0,0,2023/4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Metz,Lens,0,0,D,0,0,H,13,4,6,1,14,16,7,15,0,0,0,0,2023/4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Strasbourg,Monaco,1,0,H,0,0,H,10,7,3,2,8,14,3,7,0,2,0,0,2025/6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Montpellier,Auxerre,1,1,D,0,1,H,6,3,2,1,12,16,3,5,3,2,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Metz,PSG,0,1,A,0,0,H,11,17,3,7,18,17,6,5,0,0,0,0,2024/5,0.0,0.0,13.0,4.0,6.0,1.0,7.0,15.0,1.0,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,-1.2
2022-08-01,Brest,Toulouse,0,0,D,0,0,H,6,9,2,4,10,18,5,4,2,1,0,0,2025/6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,PSG,Brest,1,0,H,0,0,H,15,14,5,4,16,8,7,6,2,1,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0,9.0,10.5,3.5,3.5,5.0,6.0,1.0,2,0.0,1.2
2022-08-01,Auxerre,Nantes,0,1,A,0,1,H,7,7,3,3,12,12,6,4,2,3,0,0,2024/5,0.0,0.0,8.0,9.0,3.0,3.0,4.0,4.0,1.0,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,-1.2
2022-08-01,Nice,Nantes,2,0,H,1,0,H,7,8,3,2,17,15,5,6,0,0,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.0,0.0,7.0,7.0,3.0,3.0,4.0,6.0,3.0,1,-2.0,0.19999999999999996
2022-08-01,Toulouse,Brest,0,0,D,0,0,H,6,9,1,4,15,15,5,6,3,0,0,0,2023/4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.3333333333333333,10.666666666666666,12.0,3.6666666666666665,4.0,5.333333333333333,6.333333333333333,0.6666666666666666,3,0.33333333333333337,1.2
2022-08-01,Auxerre,Rennes,0,0,D,0,0,H,9,14,3,4,18,16,4,8,1,2,0,0,2025/6,0.0,0.5,7.5,8.0,3.0,3.0,5.0,4.0,0.5,2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,-0.5,-1.2
2022-08-01,Strasbourg,Monaco,0,2,A,0,1,H,7,8,3,3,18,16,6,2,3,3,0,0,2022/3,1.0,0.0,10.0,7.0,3.0,2.0,3.0,7.0,3.0,1,0.0,1.0,7.0,10.0,2.0,3.0,7.0,3.0,0.0,1,3.0,1.0
2022-08-01,Auxerre,Reims,1,0,H,0,0,H,10,10,3,4,16,14,9,5,3,3,0,0,2024/5,0.0,0.3333333333333333,8.0,10.0,3.0,3.3333333333333335,4.666666666666667,5.333333333333333,0.6666666666666666,3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,-0.33333333333333337,-1.2
2022-08-01,Rennes,PSG,1,1,D,1,0,H,14,21,4,6,17,11,4,2,3,3,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.0,0.0,17.0,11.0,7.0,3.0,5.0,6.0,3.0,1,-2.0,0.19999999999999996
2022-08-01,Toulouse,PSG,0,2,A,0,2,H,11,13,4,4,11,10,4,2,3,3,0,0,2024/5,0.0,0.0,6.0,9.0,1.0,4.0,5.0,6.0,1.0,1,1.0,0.5,19.0,12.5,6.5,3.5,3.5,5.0,2.0,2,-1.0,-1.0
2022-08-01,Lyon,Auxerre,0,1,A,0,1,H,12,6,5,2,15,17,5,10,2,1,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.0,1.0,3.0,6.0,1.0,2.0,5.0,3.0,1.0,1,0.0,0.19999999999999996
2022-08-01,Nice,Monaco,2,2,D,1,1,H,11,9,4,3,9,11,4,7,0,2,0,0,2022/3,2.0,0.0,7.0,8.0,3.0,2.0,5.0,6.0,3.0,1,1.0,0.5,7.5,8.5,2.5,3.0,4.5,4.5,1.5,2,1.5,1.0
2022-08-01,Lens,Auxerre,1,1,D,1,1,H,5,12,1,5,9,8,8,4,0,3,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.0,0.5,4.5,9.0,1.5,3.5,7.5,4.0,2.0,2,-1.0,0.19999999999999996
