Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
2022-08-18,Lille,Rennes,0,2,A,0,1,H,7,11,3,4,8,13,3,3,0,0,0,0,2022/3
2022-08-17,Lille,Nice,1,0,H,1,0,H,9,7,4,2,9,10,6,2,0,0,0,0,2022/3
2022-08-08,Toulouse,Lille,1,0,H,1,0,H,10,8,3,3,17,17,4,6,0,0,0,0,2022/3
2022-08-07,Monaco,Lyon,0,0,D,0,0,H,9,13,3,6,18,13,7,2,1,2,0,0,2022/3
2022-08-25,Lorient,Auxerre,0,0,D,0,0,H,8,13,2,4,9,8,4,3,3,0,0,0,2022/3
2022-08-03,Lens,Lille,0,1,A,0,1,H,12,18,4,8,11,13,3,3,2,1,0,0,2022/3
2022-08-26,Marseille,Nice,0,0,D,0,0,H,13,9,4,4,18,16,3,5,0,2,0,0,2022/3
2022-08-04,Monaco,Metz,1,0,H,0,0,H,6,11,2,3,16,10,7,2,2,2,0,0,2022/3
2022-08-09,Montpellier,Reims,0,0,D,0,0,H,10,9,3,3,16,15,6,2,2,0,0,0,2022/3
2022-08-25,Toulouse,Marseille,3,0,H,1,0,H,14,19,4,5,10,18,4,3,2,1,0,0,2022/3
2022-08-03,Reims,Strasbourg,0,1,A,0,1,H,6,10,2,3,10,16,4,3,0,2,0,0,2022/3
2022-08-26,Lorient,PSG,0,3,A,0,2,H,5,5,1,1,8,13,5,5,1,1,0,0,2022/3
2022-08-20,Brest,Reims,1,0,H,1,0,H,6,9,2,4,10,11,2,4,1,1,0,0,2022/3
2022-08-14,Rennes,Monaco,0,2,A,0,1,H,8,10,3,3,18,11,7,5,2,1,0,0,2022/3
2022-08-08,Nantes,Brest,0,2,A,0,2,H,10,8,4,3,11,15,2,3,2,2,0,0,2022/3
2022-08-13,Auxerre,Reims,3,0,H,3,0,H,7,5,2,2,13,12,7,5,0,2,0,0,2022/3
2022-08-11,Montpellier,Rennes,0,0,D,0,0,H,10,11,4,5,8,9,8,4,2,1,0,0,2022/3
2022-08-12,Metz,Brest,0,0,D,0,0,H,15,8,4,3,13,14,9,4,0,3,0,0,2022/3
2022-08-17,Auxerre,PSG,0,0,D,0,0,H,9,13,2,5,16,18,8,7,1,2,0,0,2022/3
2022-08-22,PSG,Lens,1,0,H,0,0,H,11,8,5,3,9,12,5,2,2,3,0,0,2022/3
2022-08-22,Metz,Lille,0,0,D,0,0,H,6,9,2,3,14,18,5,3,1,2,0,0,2022/3
2022-08-26,Rennes,Lille,1,0,H,0,0,H,5,6,1,2,17,17,6,5,2,3,0,0,2022/3
2022-08-26,Metz,Toulouse,0,0,D,0,0,H,7,5,2,2,10,18,7,6,0,2,0,0,2022/3
2022-08-25,Nantes,Montpellier,1,0,H,0,0,H,7,5,2,2,11,18,8,7,2,1,0,0,2022/3
2022-08-20,Metz,Nantes,1,1,D,1,0,H,9,12,2,5,9,15,4,7,3,1,0,0,2022/3
2022-08-23,PSG,Marseille,4,1,H,1,1,H,16,8,6,2,8,9,7,7,3,1,0,0,2022/3
2022-08-08,Marseille,Lorient,2,0,H,1,0,H,11,13,4,4,9,15,3,6,1,3,0,0,2022/3
2022-08-15,Le Havre,Strasbourg,0,0,D,0,0,H,7,8,2,3,17,16,4,2,3,3,0,0,2022/3
2022-08-08,Strasbourg,PSG,1,2,A,1,0,H,11,15,4,5,18,12,6,2,3,1,0,0,2022/3
2022-08-11,Marseille,Lille,0,0,D,0,0,H,15,6,5,2,16,9,8,2,1,1,0,0,2022/3
2022-08-14,Rennes,Marseille,0,1,A,0,0,H,8,10,3,3,13,16,5,8,3,3,0,0,2022/3
2022-08-23,Toulouse,Montpellier,0,0,D,0,0,H,7,8,2,3,8,17,6,4,3,3,0,0,2022/3
2022-08-27,Toulouse,Auxerre,0,0,D,0,0,H,7,8,3,3,14,16,3,2,1,3,0,0,2022/3
2022-08-22,Nantes,Monaco,0,0,D,0,0,H,9,16,2,5,14,10,10,4,3,1,0,0,2022/3
2022-08-22,Lyon,Nice,2,0,H,2,0,H,18,12,8,5,8,9,2,3,3,1,0,0,2022/3
