Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,Home_AvgGoalsFor_L5,Home_AvgGoalsAgainst_L5,Home_AvgShotsFor_L5,Home_AvgShotsAgainst_L5,Home_AvgShotsOnTargetFor_L5,Home_AvgShotsOnTargetAgainst_L5,Home_AvgCornersFor_L5,Home_AvgCornersAgainst_L5,Home_AvgPoints_L5,Home_MatchesPlayed,Away_AvgGoalsFor_L5,Away_AvgGoalsAgainst_L5,Away_AvgShotsFor_L5,Away_AvgShotsAgainst_L5,Away_AvgShotsOnTargetFor_L5,Away_AvgShotsOnTargetAgainst_L5,Away_AvgCornersFor_L5,Away_AvgCornersAgainst_L5,Away_AvgPoints_L5,Away_MatchesPlayed,Diff_AvgPoints_L5,Diff_AvgGoalsFor_L5
2022-08-01,Genoa,Venezia,0,1,A,0,1,H,11,6,3,2,17,18,3,12,2,0,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Monza,Lecce,0,2,A,0,0,H,12,7,4,2,16,18,5,7,3,3,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Udinese,Atalanta,0,0,D,0,0,H,7,15,3,6,8,12,7,2,2,0,0,0,2023/4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Torino,Atalanta,1,1,D,0,1,H,7,12,2,5,9,18,2,7,2,1,0,0,2023/4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0,15.0,7.0,6.0,3.0,2.0,7.0,1.0,1,0.0,1.2
2022-08-01,Udinese,Fiorentina,0,1,A,0,0,H,6,3,2,1,17,8,4,4,3,2,0,0,2025/6,0.0,0.0,7.0,15.0,3.0,6.0,7.0,2.0,1.0,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,-1.2
2022-08-01,Napoli,Fiorentina,2,1,H,0,0,H,17,5,5,2,15,10,9,5,1,2,0,0,2025/6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.0,0.0,3.0,6.0,1.0,2.0,4.0,4.0,3.0,1,-2.0,0.19999999999999996
2022-08-01,Como,AC Milan,0,1,A,0,1,H,11,9,5,2,9,14,2,2,3,2,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Genoa,Udinese,0,0,D,0,0,H,10,11,3,4,10,12,3,7,1,1,0,0,2022/3,0.0,1.0,11.0,6.0,3.0,2.0,3.0,12.0,0.0,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,-1.0,-1.2
2022-08-01,Sassuolo,Monza,0,0,D,0,0,H,8,4,2,1,14,14,2,11,3,2,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Cagliari,Monza,0,0,D,0,0,H,9,10,2,3,12,12,8,4,1,0,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0,4.0,8.0,1.0,2.0,11.0,2.0,1.0,1,0.0,1.2
