Date,Team,GoalsFor,GoalsAgainst,FTR,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,CornersFor,CornersAgainst,Points,IsHome,AvgGoalsFor_L5,AvgGoalsAgainst_L5,AvgShotsFor_L5,AvgShotsAgainst_L5,AvgShotsOnTargetFor_L5,AvgShotsOnTargetAgainst_L5,AvgCornersFor_L5,AvgCornersAgainst_L5,AvgPoints_L5,MatchesPlayed
2022-08-05,Arsenal,2,0,A,10,10,2,2,5,3,3,0,,,,,,,,,,0
2022-08-13,Arsenal,4,2,H,19,6,7,2,6,2,3,1,2.0,0.0,10.0,10.0,2.0,2.0,5.0,3.0,3.0,1
2022-08-20,Arsenal,3,0,A,14,6,6,1,4,3,3,0,3.0,1.0,14.5,8.0,4.5,2.0,5.5,2.5,3.0,2
2022-08-27,Arsenal,2,1,H,22,11,8,3,9,2,3,1,3.0,0.6666666666666666,14.333333333333334,7.333333333333333,5.0,1.6666666666666667,5.0,2.6666666666666665,3.0,3
2022-08-31,Arsenal,2,1,H,22,4,9,3,10,3,3,1,2.75,0.75,16.25,8.25,5.75,2.0,6.0,2.5,3.0,4
2022-09-04,Arsenal,1,3,H,16,10,3,6,5,2,0,0,2.6,0.8,17.4,7.4,6.4,2.2,6.8,2.6,3.0,5
2022-09-18,Arsenal,3,0,A,13,5,7,2,3,3,3,0,2.4,1.4,18.6,7.4,6.6,3.0,6.8,2.4,2.4,6
2022-10-01,Arsenal,3,1,H,22,7,9,3,5,2,3,1,2.2,1.0,17.4,7.2,6.6,3.0,6.2,2.6,2.4,7
2022-10-09,Arsenal,3,2,H,11,8,7,3,4,3,3,1,2.2,1.2,19.0,7.4,7.2,3.4,6.4,2.4,2.4,8
2022-10-16,Arsenal,1,0,A,9,16,4,4,3,6,3,0,2.4,1.4,16.8,6.8,7.0,3.4,5.4,2.6,2.4,9
2022-10-23,Arsenal,1,1,D,12,10,3,3,4,9,1,0,2.2,1.2,14.2,9.2,6.0,3.6,4.0,3.2,2.4,10
2022-10-30,Arsenal,5,0,H,24,5,10,2,9,4,3,1,2.2,0.8,13.4,9.2,6.0,3.0,3.8,4.6,2.6,11
2022-11-06,Arsenal,1,0,A,14,5,2,1,6,4,3,0,2.6,0.8,15.6,9.2,6.6,3.0,5.0,4.8,2.6,12
2022-11-12,Arsenal,2,0,A,14,11,4,2,4,6,3,0,2.2,0.6,14.0,8.8,5.2,2.6,5.2,5.2,2.6,13
2022-12-26,Arsenal,3,1,H,16,8,5,4,7,5,3,1,2.0,0.2,14.6,9.4,4.6,2.4,5.2,5.8,2.6,14
2022-12-31,Arsenal,4,2,A,14,9,7,5,4,7,3,0,2.4,0.4,16.0,7.8,4.8,2.4,6.0,5.6,2.6,15
2023-01-03,Arsenal,0,0,D,17,8,4,1,5,5,1,1,3.0,0.6,16.4,7.6,5.6,2.8,6.0,5.2,3.0,16
2023-01-15,Arsenal,2,0,A,14,17,5,7,3,4,3,0,2.0,0.6,15.0,8.2,4.4,2.6,5.2,5.4,2.6,17
2023-01-22,Arsenal,3,2,H,25,6,5,4,12,4,3,1,2.2,0.6,15.0,10.6,5.0,3.8,4.6,5.4,2.6,18
2023-02-04,Arsenal,0,1,H,15,12,3,4,5,7,0,0,2.4,1.0,17.2,9.6,5.2,4.2,6.2,5.0,2.6,19
2023-02-11,Arsenal,1,1,D,23,9,7,2,7,4,1,1,1.8,1.0,17.0,10.4,4.8,4.2,5.8,5.4,2.0,20
2023-02-15,Arsenal,1,3,A,10,9,1,6,1,3,0,1,1.2,0.8,18.8,10.4,4.8,3.6,6.4,4.8,1.6,21
2023-02-18,Arsenal,4,2,A,20,7,5,5,9,2,3,0,1.4,1.4,17.4,10.6,4.2,4.6,5.6,4.4,1.4,22
2023-02-25,Arsenal,1,0,A,10,1,2,0,8,0,3,0,1.8,1.8,18.6,8.6,4.2,4.2,6.8,4.0,1.4,23
2023-03-01,Arsenal,4,0,H,15,8,5,5,5,1,3,1,1.4,1.4,15.6,7.6,3.6,3.4,6.0,3.2,1.4,24
2023-03-04,Arsenal,3,2,H,31,4,9,4,17,1,3,1,2.2,1.2,15.6,6.8,4.0,3.6,6.0,2.0,2.0,25
2023-03-12,Arsenal,3,0,A,15,12,7,2,8,4,3,0,2.6,1.4,17.2,5.8,4.4,4.0,8.0,1.4,2.4,26
2023-03-19,Arsenal,4,1,H,15,8,5,4,5,4,3,1,3.0,0.8,18.2,6.4,5.6,3.2,9.4,1.6,3.0,27
2023-04-01,Arsenal,4,1,H,13,7,6,5,4,3,3,1,3.0,0.6,17.2,6.6,5.6,3.0,8.6,2.0,3.0,28
2023-04-09,Arsenal,2,2,D,9,21,5,6,4,5,1,0,3.6,0.8,17.8,7.8,6.4,4.0,7.8,2.6,3.0,29
2023-04-16,Arsenal,2,2,D,11,16,5,3,2,7,1,0,3.2,1.2,16.6,10.4,6.4,4.2,7.6,3.4,2.6,30
2023-04-21,Arsenal,3,3,D,25,8,6,6,7,2,1,1,3.0,1.2,12.6,12.8,5.6,4.0,4.6,4.6,2.2,31
2023-04-26,Arsenal,1,4,H,8,14,2,9,3,1,0,0,3.0,1.8,14.6,12.0,5.4,4.8,4.4,4.2,1.8,32
2023-05-02,Arsenal,3,1,H,16,7,10,4,7,2,3,1,2.4,2.4,13.2,13.2,4.8,5.8,4.0,3.6,1.2,33
2023-05-07,Arsenal,2,0,A,10,12,6,5,4,9,3,0,2.2,2.4,13.8,13.2,5.6,5.6,4.6,3.4,1.2,34
2023-05-14,Arsenal,0,3,A,14,12,2,6,5,2,0,1,2.2,2.0,14.0,11.4,5.8,5.4,4.6,4.2,1.6,35
2023-05-20,Arsenal,0,1,H,11,6,3,2,6,3,0,0,1.8,2.2,14.6,10.6,5.2,6.0,5.2,3.2,1.4,36
2023-05-28,Arsenal,5,0,H,14,6,8,0,8,4,3,1,1.2,1.8,11.8,10.2,4.6,5.2,5.0,3.4,1.2,37
2023-08-12,Arsenal,2,1,H,15,6,7,2,8,3,3,1,2.0,1.0,13.0,8.6,5.8,3.4,6.0,4.0,1.8,38
2023-08-21,Arsenal,1,0,A,14,14,3,2,8,1,3,0,1.8,1.0,12.8,8.4,5.2,3.0,6.2,4.2,1.8,39
2023-08-26,Arsenal,2,2,D,19,8,11,3,8,3,1,1,1.6,1.0,13.6,8.8,4.6,2.4,7.0,2.6,1.8,40
2023-09-03,Arsenal,3,1,H,17,10,5,2,12,3,3,1,2.0,0.8,14.6,8.0,6.4,1.8,7.6,2.8,2.0,41
2023-09-17,Arsenal,1,0,A,13,8,4,1,11,1,3,0,2.6,0.8,15.8,8.8,6.8,1.8,8.8,2.8,2.6,42
2023-09-24,Arsenal,2,2,D,13,13,6,5,11,4,1,1,1.8,0.8,15.6,9.2,6.0,2.0,9.4,2.2,2.6,43
2023-09-30,Arsenal,4,0,A,15,8,8,1,6,6,3,0,1.8,1.0,15.2,10.6,5.8,2.6,10.0,2.4,2.2,44
2023-10-08,Arsenal,1,0,H,12,4,2,1,5,4,3,1,2.4,1.0,15.4,9.4,6.8,2.4,9.6,3.4,2.2,45
2023-10-21,Arsenal,2,2,D,13,11,3,5,7,2,1,0,2.2,0.6,14.0,8.6,5.0,2.0,9.0,3.6,2.6,46
2023-10-28,Arsenal,5,0,H,13,2,8,0,6,1,3,1,2.0,0.8,13.2,8.8,4.6,2.6,8.0,3.4,2.2,47
2023-11-04,Arsenal,0,1,H,14,9,1,2,11,0,0,0,2.8,0.8,13.2,7.6,5.4,2.4,7.0,3.4,2.2,48
2023-11-11,Arsenal,3,1,H,16,8,6,5,3,3,3,1,2.4,0.6,13.4,6.8,4.4,1.8,7.0,2.6,2.0,49
2023-11-25,Arsenal,1,0,A,15,9,4,3,8,1,3,0,2.2,0.8,13.6,6.8,4.0,2.6,6.4,2.0,2.0,50
2023-12-02,Arsenal,2,1,H,19,6,6,3,4,0,3,1,2.2,0.8,14.2,7.8,4.4,3.0,7.0,1.4,2.0,51
2023-12-05,Arsenal,4,3,A,23,6,9,4,8,3,3,0,2.2,0.6,15.4,6.8,5.0,2.6,6.4,1.0,2.4,52
2023-12-09,Arsenal,0,1,H,12,10,5,3,3,3,0,0,2.0,1.2,17.4,7.6,5.2,3.4,6.8,1.4,2.4,53
2023-12-17,Arsenal,2,0,H,26,6,9,1,10,1,3,1,2.0,1.2,17.0,7.8,6.0,3.6,5.2,2.0,2.4,54
2023-12-23,Arsenal,1,1,D,13,13,2,3,5,4,1,0,1.8,1.0,19.0,7.4,6.6,2.8,6.6,1.6,2.4,55
2023-12-28,Arsenal,0,2,A,30,6,8,3,10,3,0,1,1.8,1.2,18.6,8.2,6.2,2.8,6.0,2.2,2.0,56
2023-12-31,Arsenal,1,2,H,13,15,3,4,4,5,0,0,1.4,1.4,20.8,8.2,6.6,2.8,7.2,2.8,1.4,57
2024-01-20,Arsenal,5,0,H,21,12,6,5,6,7,3,1,0.8,1.2,18.8,10.0,5.4,2.8,6.4,3.2,0.8,58
2024-01-30,Arsenal,2,1,A,19,9,3,3,11,2,3,0,1.8,1.0,20.6,10.4,5.6,3.2,7.0,4.0,1.4,59
2024-02-04,Arsenal,3,1,H,15,10,7,1,2,4,3,1,1.8,1.2,19.2,11.0,4.4,3.6,7.2,4.2,1.4,60
2024-02-11,Arsenal,6,0,A,25,5,12,1,6,2,3,0,2.2,1.2,19.6,10.4,5.4,3.2,6.6,4.2,1.8,61
2024-02-17,Arsenal,5,0,A,16,8,7,0,6,4,3,0,3.4,0.8,18.6,10.2,6.2,2.8,5.8,4.0,2.4,62
2024-02-24,Arsenal,4,1,H,18,3,8,2,9,0,3,1,4.2,0.4,19.2,8.8,7.0,2.0,6.2,3.8,3.0,63
2024-03-04,Arsenal,6,0,A,22,4,10,0,7,0,3,0,4.0,0.6,18.6,7.0,7.4,1.4,6.8,2.4,3.0,64
2024-03-09,Arsenal,2,1,H,17,9,6,4,10,4,3,1,4.8,0.4,19.2,6.0,8.8,0.8,6.0,2.0,3.0,65
2024-03-31,Arsenal,0,0,D,6,12,2,1,4,7,1,0,4.6,0.4,19.6,5.8,8.6,1.4,7.6,2.0,3.0,66
2024-04-03,Arsenal,2,0,H,13,5,4,1,3,1,3,1,3.4,0.4,15.8,7.2,6.6,1.4,7.2,3.0,2.6,67
2024-04-06,Arsenal,3,0,A,20,10,7,2,7,8,3,0,2.8,0.4,15.2,6.6,6.0,1.6,6.6,2.4,2.6,68
2024-04-14,Arsenal,0,2,A,18,11,4,2,4,6,0,1,2.6,0.2,15.6,8.0,5.8,1.6,6.2,4.0,2.6,69
2024-04-20,Arsenal,2,0,A,24,5,9,3,2,1,3,0,1.4,0.6,14.8,9.4,4.6,2.0,5.6,5.2,2.0,70
2024-04-23,Arsenal,5,0,H,27,7,10,1,4,2,3,1,1.4,0.4,16.2,8.6,5.2,1.8,4.0,4.6,2.0,71
2024-04-28,Arsenal,3,2,A,9,14,3,2,6,8,3,0,2.4,0.4,20.4,7.6,6.8,1.8,4.0,3.6,2.4,72
2024-05-04,Arsenal,3,0,H,25,7,9,2,6,1,3,1,2.6,0.8,19.6,9.4,6.6,2.0,4.6,5.0,2.4,73
2024-05-12,Arsenal,1,0,A,11,14,5,2,7,4,3,0,2.6,0.8,20.6,8.8,7.0,2.0,4.4,3.6,2.4,74
2024-05-19,Arsenal,2,1,H,26,5,5,2,8,1,3,1,2.8,0.4,19.2,9.4,7.2,2.0,5.0,3.2,3.0,75
2024-08-17,Arsenal,2,0,H,18,9,6,3,8,2,3,1,2.8,0.6,19.6,9.4,6.4,1.8,6.2,3.2,3.0,76
2024-08-24,Arsenal,2,0,A,9,11,4,3,1,4,3,0,2.2,0.6,17.8,9.8,5.6,2.2,7.0,3.2,3.0,77
2024-08-31,Arsenal,1,1,D,11,22,7,4,3,7,1,1,2.0,0.2,17.8,9.2,5.8,2.4,6.0,2.4,3.0,78
2024-09-15,Arsenal,1,0,A,7,15,4,5,6,7,3,0,1.6,0.4,15.0,12.2,5.4,2.8,5.4,3.6,2.6,79
2024-09-22,Arsenal,2,2,D,5,33,3,11,2,8,1,0,1.6,0.4,14.2,12.4,5.2,3.4,5.2,4.2,2.6,80
2024-09-28,Arsenal,4,2,H,36,5,16,3,17,0,3,1,1.6,0.6,10.0,18.0,4.8,5.2,4.0,5.6,2.2,81
2024-10-05,Arsenal,3,1,H,29,8,6,2,13,1,3,1,2.0,1.0,13.6,17.2,6.8,5.2,5.8,5.2,2.2,82
