Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,Home_AvgGoalsFor_L5,Home_AvgGoalsAgainst_L5,Home_AvgShotsFor_L5,Home_AvgShotsAgainst_L5,Home_AvgShotsOnTargetFor_L5,Home_AvgShotsOnTargetAgainst_L5,Home_AvgCornersFor_L5,Home_AvgCornersAgainst_L5,Home_AvgPoints_L5,Home_MatchesPlayed,Away_AvgGoalsFor_L5,Away_AvgGoalsAgainst_L5,Away_AvgShotsFor_L5,Away_AvgShotsAgainst_L5,Away_AvgShotsOnTargetFor_L5,Away_AvgShotsOnTargetAgainst_L5,Away_AvgCornersFor_L5,Away_AvgCornersAgainst_L5,Away_AvgPoints_L5,Away_MatchesPlayed,Diff_AvgPoints_L5,Diff_AvgGoalsFor_L5
2022-08-01,Bayern Munich,Leverkusen,1,1,D,0,0,H,20,13,9,5,16,14,4,2,0,2,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Freiburg,St. Pauli,1,1,D,0,1,H,7,12,2,4,16,16,12,5,0,3,0,0,2025/6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Dortmund,Wolfsburg,1,0,H,0,0,H,9,11,2,5,12,16,5,8,2,0,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Dortmund,Hoffenheim,1,1,D,0,0,H,20,10,7,4,14,17,8,8,2,1,0,0,2022/3,1.0,0.0,9.0,11.0,2.0,5.0,5.0,8.0,3.0,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,2.0,-0.19999999999999996
2022-08-01,Union Berlin,Bochum,0,0,D,0,0,H,8,5,3,1,16,11,7,6,2,0,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Leipzig,Bayern Munich,2,2,D,0,1,H,14,16,6,6,13,11,6,2,3,3,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Bremen,Mainz,0,0,D,0,0,H,10,12,3,4,15,16,5,9,3,3,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Hoffenheim,Bayern Munich,0,0,D,0,0,H,9,17,4,7,16,17,6,5,3,2,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,2.0,2.0,16.0,14.0,6.0,6.0,2.0,6.0,1.0,1,0.0,-0.8
2022-08-01,Hoffenheim,Heidenheim,0,0,D,0,0,H,9,8,3,2,10,13,2,11,3,0,0,0,2024/5,0.0,0.0,9.0,17.0,4.0,7.0,6.0,5.0,1.0,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,-1.2
2022-08-01,Bremen,Wolfsburg,0,0,D,0,0,H,11,14,3,4,15,15,7,7,1,0,0,0,2025/6,0.0,0.0,10.0,12.0,3.0,4.0,5.0,9.0,1.0,1,0.0,1.0,11.0,9.0,5.0,2.0,8.0,5.0,0.0,1,1.0,0.0
2022-08-01,Bremen,Freiburg,0,2,A,0,2,H,4,8,1,3,12,8,8,5,2,1,0,0,2025/6,0.0,0.0,10.5,13.0,3.0,4.0,6.0,8.0,1.0,2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,-1.2
2022-08-01,Stuttgart,Monchengladbach,0,1,A,0,1,H,12,5,4,2,13,15,7,6,2,2,0,0,2024/5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Monchengladbach,Wolfsburg,0,0,D,0,0,H,12,10,5,3,12,17,5,5,1,3,0,0,2022/3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.5,12.5,10.0,4.5,2.5,7.5,6.0,0.5,2,0.5,1.2
2022-08-01,Leverkusen,Leipzig,2,1,H,0,0,H,12,12,3,5,15,10,3,4,2,2,0,0,2025/6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,0.0
2022-08-01,Dortmund,Monchengladbach,1,0,H,0,0,H,13,10,4,3,8,17,3,2,2,0,0,0,2022/3,1.0,0.5,14.5,10.5,4.5,4.5,6.5,8.0,2.0,2,1.0,0.0,5.0,12.0,2.0,4.0,6.0,7.0,3.0,1,-1.0,0.0
2022-08-01,Monchengladbach,Holstein Kiel,0,0,D,0,0,H,3,7,1,3,16,17,4,2,2,2,0,0,2024/5,0.0,0.0,12.0,10.0,5.0,3.0,5.0,5.0,1.0,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,0.0,-1.2
2022-08-01,St. Pauli,Hoffenheim,2,1,H,0,0,H,8,10,3,4,14,8,4,2,3,0,0,0,2025/6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0,1.0,1.0,10.0,20.0,4.0,7.0,8.0,8.0,1.0,1,0.0,0.19999999999999996
