Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
2022-08-22,Atletico Madrid,Real Valladolid,1,0,H,0,0,H,12,3,4,1,16,9,11,6,3,0,0,0,2022/3
2022-08-26,Girona,Vallecano,0,0,D,0,0,H,10,7,4,2,8,10,5,3,2,1,0,0,2022/3
2022-08-22,Getafe,Athletic Bilbao,1,0,H,1,0,H,8,10,3,3,14,14,2,11,0,2,0,0,2022/3
2022-08-15,Barcelona,Leganés,2,0,H,0,0,H,18,7,5,3,16,13,2,5,3,2,0,0,2022/3
2022-08-14,Villarreal,Leganés,2,0,H,2,0,H,10,10,3,3,16,14,10,4,0,1,0,0,2022/3
2022-08-17,Real Sociedad,Girona,3,0,H,2,0,H,17,15,7,5,17,15,5,9,3,0,0,0,2022/3
2022-08-02,Sevilla,Leganés,0,0,D,0,0,H,7,9,3,3,17,18,2,6,2,2,0,0,2022/3
2022-08-09,Celta,Real Madrid,2,0,H,0,0,H,10,14,4,4,10,12,5,7,2,3,0,0,2022/3
2022-08-12,Girona,Barcelona,0,0,D,0,0,H,14,18,5,7,8,16,2,5,3,1,0,0,2022/3
2022-08-16,Celta,Girona,0,0,D,0,0,H,11,9,3,2,14,12,8,6,2,3,0,0,2022/3
2022-08-24,Real Betis,Real Sociedad,0,0,D,0,0,H,11,9,5,4,16,17,5,6,3,0,0,0,2022/3
2022-08-21,Girona,Athletic Bilbao,0,2,A,0,1,H,8,9,2,4,9,14,6,3,0,2,0,0,2022/3
2022-08-24,Real Sociedad,Barcelona,0,1,A,0,0,H,18,12,6,3,12,18,5,3,0,3,0,0,2022/3
2022-08-20,Las Palmas,Real Betis,0,0,D,0,0,H,11,13,4,6,16,16,2,4,1,0,0,0,2022/3
2022-08-24,Leganés,Mallorca,1,0,H,1,0,H,8,5,3,1,10,12,6,6,0,3,0,0,2022/3
2022-08-01,Alavés,Girona,1,1,D,0,1,H,6,7,2,2,14,18,4,2,1,2,0,0,2022/3
2022-08-08,Vallecano,Osasuna,0,0,D,0,0,H,13,5,6,1,11,8,7,3,2,1,0,0,2022/3
2022-08-19,Sevilla,Getafe,0,0,D,0,0,H,11,11,4,5,14,18,6,5,2,3,0,0,2022/3
2022-08-27,Barcelona,Valencia,1,0,H,0,0,H,19,7,7,2,15,10,3,2,3,3,0,0,2022/3
2022-08-02,Atletico Madrid,Vallecano,2,0,H,1,0,H,12,9,5,3,18,17,3,7,0,3,0,0,2022/3
2022-08-12,Sevilla,Vallecano,0,1,A,0,0,H,11,11,3,5,12,12,6,5,2,3,0,0,2022/3
2022-08-12,Alavés,Real Betis,0,0,D,0,0,H,8,16,3,5,17,14,3,3,3,0,0,0,2022/3
2022-08-13,Villarreal,Alavés,1,0,H,1,0,H,14,8,6,3,16,10,4,9,3,0,0,0,2022/3
2022-08-06,Getafe,Barcelona,1,2,A,1,1,H,8,12,3,4,10,14,8,2,3,2,0,0,2022/3
2022-08-12,Getafe,Mallorca,1,0,H,1,0,H,4,12,1,4,18,9,3,6,2,3,0,0,2022/3
2022-08-15,Real Sociedad,Real Valladolid,1,1,D,0,1,H,11,5,4,1,10,10,2,8,3,2,0,0,2022/3
2022-08-22,Mallorca,Real Valladolid,0,0,D,0,0,H,9,11,4,4,9,14,2,6,3,3,0,0,2022/3
2022-08-20,Vallecano,Las Palmas,0,0,D,0,0,H,10,6,4,1,16,9,7,9,3,0,0,0,2022/3
2022-08-03,Barcelona,Real Valladolid,2,0,H,2,0,H,12,9,4,3,13,8,8,3,3,1,0,0,2022/3
2022-08-06,Leganés,Real Valladolid,1,1,D,0,1,H,9,8,3,3,15,11,8,3,2,1,0,0,2022/3
2022-08-08,Osasuna,Atletico Madrid,0,1,A,0,0,H,12,9,4,3,18,17,9,4,3,1,0,0,2022/3
2022-08-20,Real Valladolid,Barcelona,0,1,A,0,1,H,6,14,2,4,13,10,6,5,1,3,0,0,2022/3
2022-08-14,Espanyol,Barcelona,1,1,D,0,1,H,19,5,8,2,16,15,2,2,3,0,0,0,2022/3
2022-08-23,Leganés,Real Madrid,0,2,A,0,1,H,11,14,5,5,17,18,4,5,0,3,0,0,2022/3
2022-08-27,Athletic Bilbao,Leganés,0,0,D,0,0,H,4,7,1,2,8,13,6,5,3,3,0,0,2022/3
2022-08-27,Real Valladolid,Sevilla,0,0,D,0,0,H,8,4,2,1,17,9,7,3,1,2,0,0,2022/3
2022-08-07,Real Madrid,Villarreal,2,0,H,1,0,H,14,15,6,6,12,9,4,4,2,0,0,0,2022/3
2022-08-11,Valencia,Sevilla,0,0,D,0,0,H,5,4,2,1,12,15,2,7,2,3,0,0,2022/3
2022-08-05,Las Palmas,Espanyol,0,0,D,0,0,H,6,11,2,4,16,12,3,5,0,1,0,0,2022/3
2022-08-23,Sevilla,Villarreal,0,0,D,0,0,H,16,14,7,5,10,17,3,4,2,3,0,0,2022/3
2022-08-05,Barcelona,Osasuna,0,0,D,0,0,H,20,13,6,5,10,17,4,3,2,3,0,0,2022/3
2022-08-05,Real Valladolid,Real Sociedad,0,0,D,0,0,H,9,7,4,2,17,8,2,2,2,2,0,0,2022/3
2022-08-20,Alavés,Sevilla,0,0,D,0,0,H,8,17,3,6,10,13,7,5,1,2,0,0,2022/3
2022-08-28,Vallecano,Girona,0,0,D,0,0,H,8,6,3,2,16,15,5,4,1,3,0,0,2022/3
2022-08-10,Las Palmas,Sevilla,0,0,D,0,0,H,5,7,2,2,11,11,6,3,1,2,0,0,2022/3
2022-08-16,Villarreal,Osasuna,1,0,H,1,0,H,9,6,2,2,15,17,5,5,0,1,0,0,2022/3
2022-08-11,Las Palmas,Atletico Madrid,0,1,A,0,0,H,9,13,2,5,16,9,2,6,2,0,0,0,2022/3
2022-08-09,Osasuna,Real Madrid,0,0,D,0,0,H,11,17,4,5,10,18,3,4,1,1,0,0,2022/3
2022-08-18,Mallorca,Athletic Bilbao,1,0,H,0,0,H,10,10,3,4,12,9,3,5,1,0,0,0,2022/3
2022-08-08,Getafe,Atletico Madrid,1,0,H,0,0,H,7,14,2,4,17,17,2,4,3,3,0,0,2022/3
2022-08-03,Espanyol,Alavés,0,1,A,0,1,H,6,12,1,5,11,15,5,5,0,3,0,0,2022/3
2022-08-16,Celta,Real Valladolid,0,0,D,0,0,H,8,14,3,4,12,17,8,4,0,3,0,0,2022/3
2022-08-07,Alavés,Las Palmas,0,1,A,0,0,H,8,5,3,2,17,18,3,8,3,0,0,0,2022/3
