Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
2022-08-25,Verona,Intel Milan,2,2,D,1,2,H,7,18,2,6,11,18,6,6,2,3,0,0,2022/3
2022-08-19,Monza,Sassuolo,0,0,D,0,0,H,10,19,4,6,18,8,10,5,2,0,0,0,2022/3
2022-08-16,Juventus,Intel Milan,3,0,H,1,0,H,23,18,8,7,9,16,10,9,1,1,0,0,2022/3
2022-08-22,Bologna,Verona,0,0,D,0,0,H,16,4,5,1,16,18,2,7,2,1,0,0,2022/3
2022-08-21,Lazio,Intel Milan,1,0,H,1,0,H,9,18,2,8,8,11,13,4,2,2,0,0,2022/3
2022-08-10,Intel Milan,Lecce,3,0,H,3,0,H,10,9,3,3,9,10,2,4,2,3,0,0,2022/3
2022-08-08,Empoli,Lazio,1,1,D,1,1,H,5,8,2,3,10,11,9,4,3,3,0,0,2022/3
2022-08-13,Monza,Venezia,1,0,H,1,0,H,14,9,5,4,10,16,2,5,2,0,0,0,2022/3
2022-08-07,Torino,Venezia,0,0,D,0,0,H,13,9,6,2,17,17,4,7,3,1,0,0,2022/3
2022-08-01,Venezia,Fiorentina,0,0,D,0,0,H,8,11,3,4,16,9,4,5,1,3,0,0,2022/3
2022-08-20,Torino,Atalanta,1,1,D,0,0,H,9,13,3,4,18,15,2,5,0,1,0,0,2022/3
2022-08-16,Lazio,Sassuolo,0,0,D,0,0,H,8,7,3,3,9,13,6,3,2,0,0,0,2022/3
2022-08-03,Roma,Torino,0,0,D,0,0,H,20,7,6,3,15,16,4,6,3,0,0,0,2022/3
2022-08-03,Lecce,Udinese,0,0,D,0,0,H,13,6,4,2,17,10,4,6,1,0,0,0,2022/3
2022-08-15,Venezia,AC Milan,0,0,D,0,0,H,9,12,2,5,13,15,5,4,2,0,0,0,2022/3
2022-08-27,Como,Verona,0,0,D,0,0,H,8,10,3,3,8,11,2,4,3,0,0,0,2022/3
2022-08-21,Sassuolo,Juventus,0,0,D,0,0,H,8,10,3,4,10,12,12,2,3,1,0,0,2022/3
2022-08-13,Juventus,Verona,0,0,D,0,0,H,11,12,5,3,12,17,5,2,3,3,0,0,2022/3
2022-08-11,Como,Udinese,0,1,A,0,0,H,5,7,1,3,11,15,5,7,2,1,0,0,2022/3
2022-08-26,Torino,Cagliari,1,0,H,0,0,H,6,13,2,4,16,16,3,3,1,2,0,0,2022/3
2022-08-02,Sassuolo,Bologna,0,0,D,0,0,H,8,12,3,5,9,16,3,4,2,0,0,0,2022/3
2022-08-16,Empoli,Lecce,0,0,D,0,0,H,12,8,3,3,11,11,7,4,2,0,0,0,2022/3
2022-08-02,Genoa,Venezia,0,1,A,0,1,H,11,6,4,2,18,13,7,6,0,3,0,0,2022/3
2022-08-18,Lecce,Roma,0,0,D,0,0,H,9,9,3,4,11,16,4,5,1,0,0,0,2022/3
2022-08-06,Verona,Bologna,0,0,D,0,0,H,5,10,1,4,15,13,4,6,3,0,0,0,2022/3
2022-08-13,Genoa,Roma,0,0,D,0,0,H,3,11,1,5,11,11,3,3,1,1,0,0,2022/3
2022-08-25,Bologna,Monza,1,0,H,0,0,H,6,8,2,2,13,15,3,3,0,2,0,0,2022/3
2022-08-28,Genoa,Empoli,1,0,H,0,0,H,10,7,4,3,16,18,2,11,1,3,0,0,2022/3
2022-08-06,Atalanta,Roma,1,3,A,1,2,H,10,15,4,5,12,18,3,9,1,3,0,0,2022/3
2022-08-25,Intel Milan,Empoli,0,0,D,0,0,H,10,4,4,1,10,16,4,6,3,3,0,0,2022/3
2022-08-07,Udinese,Roma,0,1,A,0,0,H,9,12,3,5,18,15,4,3,0,1,0,0,2022/3
2022-08-25,Roma,Intel Milan,2,0,H,1,0,H,16,13,7,5,15,10,8,2,3,0,0,0,2022/3
2022-08-05,Intel Milan,Venezia,1,0,H,0,0,H,11,14,5,6,10,17,2,6,2,0,0,0,2022/3
2022-08-08,Sassuolo,Genoa,0,0,D,0,0,H,12,7,4,3,10,16,3,2,0,3,0,0,2022/3
2022-08-04,Fiorentina,Monza,0,0,D,0,0,H,13,6,5,2,16,13,7,4,2,2,0,0,2022/3
2022-08-18,AC Milan,Bologna,0,1,A,0,0,H,11,12,4,3,16,11,4,3,0,2,0,0,2022/3
2022-08-01,Lazio,Torino,1,0,H,0,0,H,14,6,4,2,11,10,11,8,1,3,0,0,2022/3
2022-08-10,Intel Milan,Verona,0,0,D,0,0,H,14,7,5,2,15,17,2,3,3,2,0,0,2022/3
